Datetime,Open,High,Low,Close,Volume
2022-01-02 18:15:00,47254.01000000,47299.92000000,46856.28000000,46949.01000000,573.46339000
2022-01-02 18:30:00,46949.02000000,47007.87000000,46654.00000000,46909.07000000,677.51064000
2022-01-02 18:45:00,46909.06000000,47082.30000000,46866.14000000,47058.12000000,267.21131000
2022-01-02 19:00:00,47056.43000000,47217.10000000,46965.39000000,47065.19000000,335.77038000
2022-01-02 19:15:00,47065.19000000,47114.72000000,46854.01000000,46915.69000000,280.55964000
2022-01-02 19:30:00,46915.69000000,47006.70000000,46851.51000000,46942.10000000,205.02034000
2022-01-02 19:45:00,46942.09000000,46987.89000000,46900.38000000,46907.68000000,116.03571000
2022-01-02 20:00:00,46907.67000000,47050.00000000,46815.17000000,47035.48000000,261.56729000
2022-01-02 20:15:00,47035.47000000,47050.00000000,46951.51000000,47033.17000000,109.28714000
2022-01-02 20:30:00,47033.18000000,47033.19000000,46899.46000000,46956.18000000,109.21628000
2022-01-02 20:45:00,46956.18000000,47035.00000000,46920.00000000,47007.14000000,90.15186000
2022-01-02 21:00:00,47007.14000000,47187.98000000,46913.27000000,47156.46000000,160.74984000
2022-01-02 21:15:00,47156.45000000,47159.30000000,47038.24000000,47060.00000000,83.38568000
2022-01-02 21:30:00,47060.00000000,47162.83000000,47050.94000000,47063.55000000,100.82494000
2022-01-02 21:45:00,47063.54000000,47063.55000000,46990.00000000,47018.03000000,87.63522000
2022-01-02 22:00:00,47017.98000000,47195.00000000,47014.84000000,47191.32000000,124.08847000
2022-01-02 22:15:00,47191.31000000,47191.32000000,47108.52000000,47156.30000000,99.06626000
2022-01-02 22:30:00,47155.98000000,47398.99000000,47155.31000000,47380.98000000,371.53311000
2022-01-02 22:45:00,47380.98000000,47380.99000000,47230.00000000,47255.38000000,89.03412000
2022-01-02 23:00:00,47255.39000000,47428.52000000,47255.38000000,47316.86000000,190.19099000
2022-01-02 23:15:00,47316.86000000,47405.01000000,47266.60000000,47394.62000000,254.05109000
2022-01-02 23:30:00,47394.62000000,47469.34000000,47303.97000000,47346.04000000,181.25780000
2022-01-02 23:45:00,47346.04000000,47383.80000000,47283.71000000,47286.18000000,123.98148000
2022-01-03 00:00:00,47286.18000000,47289.11000000,47139.19000000,47139.19000000,265.91351000
2022-01-03 00:15:00,47139.20000000,47252.77000000,47139.19000000,47174.43000000,170.25227000
2022-01-03 00:30:00,47174.44000000,47181.31000000,47062.11000000,47150.01000000,166.62155000
2022-01-03 00:45:00,47150.02000000,47211.46000000,47050.00000000,47050.08000000,131.33061000
2022-01-03 01:00:00,47050.09000000,47087.64000000,47024.38000000,47041.13000000,200.47880000
2022-01-03 01:15:00,47041.12000000,47087.95000000,46950.00000000,47035.77000000,196.95862000
2022-01-03 01:30:00,47035.77000000,47086.20000000,46976.46000000,46976.46000000,105.33698000
2022-01-03 01:45:00,46976.46000000,47138.78000000,46964.71000000,47116.71000000,125.28140000
2022-01-03 02:00:00,47116.22000000,47116.71000000,46900.04000000,46925.90000000,213.88573000
2022-01-03 02:15:00,46925.90000000,47008.59000000,46870.00000000,46997.37000000,135.66735000
2022-01-03 02:30:00,46997.36000000,47051.89000000,46955.01000000,46980.49000000,176.70711000
2022-01-03 02:45:00,46980.49000000,47031.24000000,46858.44000000,46999.98000000,255.44695000
2022-01-03 03:00:00,46999.98000000,47084.80000000,46950.62000000,46950.62000000,157.76338000
2022-01-03 03:15:00,46950.62000000,46971.29000000,46871.09000000,46958.64000000,169.84288000
2022-01-03 03:30:00,46958.64000000,46981.41000000,46740.00000000,46787.72000000,301.60166000
2022-01-03 03:45:00,46787.72000000,46847.13000000,46722.39000000,46793.26000000,221.23062000
2022-01-03 04:00:00,46793.27000000,46888.87000000,46750.00000000,46853.70000000,175.80674000
2022-01-03 04:15:00,46853.70000000,46910.23000000,46818.43000000,46841.99000000,201.80369000
2022-01-03 04:30:00,46841.97000000,46944.77000000,46821.79000000,46928.72000000,171.80101000
